,CityID,City Name,Country,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed
0,,carnarvon,ZA,-30.97,22.13,60.16,40.0,0,8.66
1,,uruzgan,AF,32.93,66.63,64.84,23.0,13,6.33
2,,rocha,UY,-34.48,-54.34,51.52,89.0,0,3.24
3,,ushuaia,AR,-54.81,-68.31,41.0,65.0,40,6.93
4,,mar del plata,AR,-46.43,-67.52,48.46,65.0,99,12.44
5,,nadym,RU,65.53,72.51,25.78,89.0,100,9.95
6,,hit,IQ,33.64,42.83,91.12,20.0,0,7.4
7,,port elizabeth,US,39.31,-74.98,50.0,93.0,16,4.7
8,,kapaa,US,22.08,-159.32,80.6,78.0,90,14.99
9,,omboue,GA,-1.57,9.26,82.12,81.0,100,9.48
10,,zhanaozen,KZ,43.35,52.85,70.96,50.0,0,14.63
11,,cairns,AU,-16.92,145.77,78.8,83.0,90,19.46
12,,busselton,AU,-33.64,115.35,72.0,43.0,60,10.07
13,,thompson,CA,55.74,-97.86,33.8,69.0,20,3.36
14,,saint george,GR,39.45,22.34,68.0,49.0,0,2.24
15,,peruibe,BR,-24.32,-47.0,65.38,95.0,99,3.78
16,,pevek,RU,69.7,170.27,20.92,76.0,81,3.49
17,,bredasdorp,ZA,-34.53,20.04,62.6,82.0,75,11.41
18,,hermanus,ZA,-34.42,19.24,61.0,82.0,62,5.01
19,,jamestown,AU,-33.21,138.6,68.44,28.0,0,5.3
20,,kodiak,US,39.95,-94.76,64.0,100.0,1,1.05
21,,saskylakh,RU,71.97,114.09,16.42,87.0,97,11.01
22,,broome,GB,52.47,1.45,55.0,93.0,0,3.36
23,,qaanaaq,GL,77.48,-69.36,13.0,76.0,1,0.69
24,,east london,ZA,-33.02,27.91,71.6,49.0,0,2.24
25,,rikitea,PF,-23.12,-134.97,76.0,76.0,3,8.88
26,,katangli,RU,51.71,143.23,43.96,60.0,53,21.99
27,,geraldton,CA,49.72,-86.95,42.8,70.0,20,9.17
28,,tuktoyaktuk,CA,69.44,-133.03,30.82,91.0,13,9.15
29,,bubaque,GW,11.28,-15.83,76.36,77.0,89,10.33
30,,isangel,VU,-19.55,169.27,78.8,69.0,40,16.69
31,,valparaiso,US,41.47,-87.06,57.2,57.0,1,5.59
32,,grand river south east,,,,,,0,
33,,taolanaro,,,,,,0,
34,,coihaique,CL,-45.58,-72.07,46.4,87.0,0,6.93
35,,clyde river,CA,70.47,-68.59,24.8,100.0,75,31.09
36,,tasiilaq,GL,65.61,-37.64,41.0,86.0,100,32.21
37,,richards bay,ZA,-28.77,32.06,71.5,78.0,22,20.42
38,,constitucion,MX,23.99,-104.67,46.48,46.0,34,6.22
39,,tallahassee,US,30.44,-84.28,64.0,87.0,1,3.69
40,,cape town,ZA,-33.93,18.42,63.0,72.0,75,8.05
41,,portland,US,45.52,-122.67,55.99,87.0,90,1.16
42,,bluff,AU,-23.58,149.07,78.34,48.0,69,14.23
43,,concordia,AR,-31.4,-58.02,51.01,87.0,0,1.99
44,,muros,ES,42.77,-9.06,64.99,67.0,0,3.36
45,,lamu,ID,0.57,122.3,87.34,56.0,98,6.08
46,,sakaiminato,JP,35.55,133.23,80.6,53.0,75,12.75
